Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.143,1.457,1.214,1.324,0.549,,,0.204,0.126,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,,,0.204,0.126,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.108,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.120,1.354,1.129,1.231,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.105,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,7.000E-07,,,
0.143,1.457,1.214,1.324,0.549,51,30,0.204,0.102,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,1.950E-07,,,
0.143,1.457,1.214,1.324,0.549,51,30,0.204,0.094,1.293,1.077,1.175,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,,,0.166,0.032,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,,,0.166,0.032,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.064,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.079,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,44,0,0.166,0.079,1.129,0.940,1.026,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,51,45,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.149,0.958,1.045,0.511,51,45,0.166,0.079,1.026,0.855,0.933,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,,,0.188,0.029,1.149,0.958,1.045,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,,,0.188,0.029,1.149,0.958,1.045,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.058,1.190,0.992,1.082,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.085,1.170,0.975,1.063,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,44,0,0.188,0.085,1.211,1.009,1.101,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,51,45,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.073,1.170,0.975,1.063,0.533,51,45,0.188,0.085,1.108,0.923,1.007,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
