Rc,Ac,Hm0.deep,Hm0.toe,Tp.deep,Tm.deep,Tm.1.0.deep,q
0.046,0.09,1.951,1.789,2.147,0.05,0.079,1.118E-06
0.098,0.109,1.591,1.458,1.75,0.185,0.097,0.0001845
0.085,0.137,1.591,1.458,1.75,0.185,0.125,2.683E-05
0.075,0.137,2.121,1.944,2.333,0.125,0.125,2.124E-05
0.085,0.136,1.697,1.556,1.867,0.125,0.089,0.0001386
0.084,0.136,1.421,1.303,1.563,0.125,0.089,3.801E-05
0.045,0.136,1.951,1.789,2.147,0.05,0.089,1.118E-06
0.086,0.154,1.591,1.458,1.75,0.185,0.107,3.466E-05
0.073,0.182,1.591,1.458,1.75,0.185,0.135,1.118E-06
0.069,0.182,2.121,1.944,2.333,0.125,0.135,3.354E-06
0.085,0.136,1.697,1.556,1.867,0.125,0.089,2.124E-05
0.084,0.136,1.421,1.303,1.563,0.125,0.089,4.472E-06
0.045,0.136,1.951,1.789,2.147,0.05,0.089,1.118E-06
0.086,0.154,1.591,1.458,1.75,0.185,0.107,1.006E-05
0.073,0.182,1.591,1.458,1.75,0.185,0.135,1.118E-06
0.069,0.182,2.121,1.944,2.333,0.125,0.135,1.118E-06
0.094,0.101,1.697,1.556,1.867,0.125,0.043,0.0005724
0.093,0.101,1.421,1.303,1.563,0.125,0.043,0.0003298
0.043,0.101,1.951,1.789,2.147,0.05,0.043,1.118E-06
0.101,0.119,1.591,1.458,1.75,0.185,0.062,0.0004875
0.093,0.147,1.591,1.458,1.75,0.185,0.09,8.162E-05
0.079,0.147,2.121,1.944,2.333,0.125,0.09,0.0001241
0.122,0.098,1.973,1.809,2.17,0.232,0.098,0.00036
0.118,0.098,1.764,1.617,1.941,0.2,0.098,0.000104
0.115,0.098,1.594,1.461,1.753,0.188,0.098,3.28E-05
0.118,0.098,1.764,1.617,1.941,0.2,0.098,7.36E-05
0.115,0.098,1.594,1.461,1.753,0.188,0.098,3.68E-05
0.117,0.106,1.954,1.791,2.15,0.188,0.106,4.48E-05
0.114,0.106,1.745,1.6,1.92,0.188,0.106,1.28E-05
0.111,0.106,1.594,1.461,1.753,0.188,0.106,8E-06
0.109,0.116,1.745,1.6,1.92,0.188,0.116,3.2E-06
0.107,0.116,1.594,1.461,1.753,0.188,0.116,2.4E-06
0.087,0.131,1.577,1.446,1.735,0.133,0.088,2.191E-05
0.092,0.121,1.787,1.638,1.965,0.176,0.078,5.173E-05
0.107,0.111,1.924,1.764,2.116,0.211,0.068,0.0001564
0.107,0.118,1.924,1.764,2.116,0.211,0.068,0.0001594
0.092,0.128,1.787,1.638,1.965,0.176,0.078,4.199E-05
0.087,0.138,1.577,1.446,1.735,0.133,0.088,3.651E-05
0.087,0.138,1.577,1.446,1.735,0.133,0.088,3.043E-06
0.092,0.128,1.787,1.638,1.965,0.176,0.078,4.382E-05
0.107,0.118,1.924,1.764,2.116,0.211,0.068,0.0001132
0.107,0.118,1.924,1.764,2.116,0.211,0.068,0.0002793
0.087,0.15,1.577,1.446,1.735,0.133,0.088,1.826E-07
0.092,0.14,1.787,1.638,1.965,0.176,0.078,1.887E-05
0.092,0.14,1.787,1.638,1.965,0.176,0.078,3.834E-05
0.092,0.14,1.787,1.638,1.965,0.176,0.078,1.339E-05
0.107,0.13,1.924,1.764,2.116,0.211,0.068,4.808E-05
0.107,0.13,1.924,1.764,2.116,0.211,0.068,0.0001254
0.107,0.118,1.924,1.764,2.116,0.211,0.051,5.112E-05
0.092,0.128,1.787,1.638,1.965,0.176,0.078,9.129E-06
0.092,0.135,1.787,1.638,1.965,0.176,0.078,4.869E-06
0.087,0.138,1.577,1.446,1.735,0.133,0.088,6.694E-06
0.107,0.118,1.924,1.764,2.116,0.211,0.068,5.112E-05
0.107,0.118,1.924,1.764,2.116,0.211,0.035,8.155E-05
0.092,0.121,1.787,1.638,1.965,0.176,0.095,1.887E-05
0.107,0.111,1.924,1.764,2.116,0.211,0.085,6.329E-05
0.107,0.118,1.924,1.764,2.116,0.211,0.085,4.99E-05
0.087,0.168,1.255,1.151,1.381,0.109,0.168,0.0
0.122,0.168,1.597,1.464,1.757,0.25,0.168,1.304E-06
0.128,0.168,1.678,1.539,1.846,0.314,0.168,4.15E-06
0.12,0.168,1.725,1.581,1.897,0.253,0.168,3.202E-06
0.124,0.168,1.77,1.622,1.947,0.289,0.168,6.404E-06
0.117,0.168,1.845,1.691,2.029,0.224,0.168,2.411E-06
0.122,0.168,1.939,1.778,2.133,0.252,0.168,4.822E-06
0.122,0.168,1.597,1.464,1.757,0.25,0.168,1.553E-05
0.087,0.22,1.255,1.151,1.381,0.109,0.22,0.0
0.122,0.22,1.597,1.464,1.757,0.25,0.22,3.162E-07
0.128,0.22,1.678,1.539,1.846,0.314,0.22,1.107E-06
0.12,0.22,1.725,1.581,1.897,0.253,0.22,7.906E-07
0.124,0.22,1.77,1.622,1.947,0.289,0.22,1.265E-06
0.117,0.22,1.845,1.691,2.029,0.224,0.22,4.743E-07
0.122,0.22,1.939,1.778,2.133,0.252,0.22,1.463E-06
0.087,0.22,1.255,1.151,1.381,0.109,0.17,0.0
0.122,0.22,1.597,1.464,1.757,0.25,0.17,1.107E-06
0.128,0.22,1.678,1.539,1.846,0.314,0.17,4.15E-06
0.122,0.17,1.597,1.464,1.757,0.25,0.17,3.676E-06
0.087,0.168,1.255,1.151,1.381,0.109,0.168,0.0
0.122,0.168,1.597,1.464,1.757,0.25,0.168,1.581E-07
0.128,0.168,1.678,1.539,1.846,0.314,0.168,2.767E-07
0.12,0.168,1.725,1.581,1.897,0.253,0.168,3.162E-07
0.124,0.168,1.77,1.622,1.947,0.289,0.168,6.325E-07
0.117,0.168,1.845,1.691,2.029,0.224,0.168,2.767E-07
0.122,0.168,1.939,1.778,2.133,0.252,0.168,5.929E-07
0.122,0.168,1.597,1.464,1.757,0.25,0.168,1.067E-06
0.087,0.22,1.255,1.151,1.381,0.109,0.22,0.0
0.122,0.22,1.597,1.464,1.757,0.25,0.22,3.953E-08
0.128,0.22,1.678,1.539,1.846,0.314,0.22,2.372E-07
0.12,0.22,1.725,1.581,1.897,0.253,0.22,1.976E-07
0.124,0.22,1.77,1.622,1.947,0.289,0.22,1.976E-07
0.117,0.22,1.845,1.691,2.029,0.224,0.22,1.581E-07
0.122,0.22,1.939,1.778,2.133,0.252,0.22,2.372E-07
0.087,0.22,1.255,1.151,1.381,0.109,0.22,0.0
0.122,0.22,1.597,1.464,1.757,0.25,0.22,1.186E-07
0.128,0.22,1.678,1.539,1.846,0.314,0.22,4.743E-07
0.122,0.17,1.597,1.464,1.757,0.25,0.17,2.767E-07
0.067,0.158,1.138,1.044,1.252,0.123,0.129,1.932E-07
0.068,0.158,1.235,1.132,1.358,0.14,0.129,9.176E-06
0.07,0.158,1.363,1.249,1.499,0.154,0.129,3.719E-05
0.075,0.133,1.026,0.941,1.129,0.1,0.104,1.449E-05
0.078,0.133,1.138,1.044,1.252,0.123,0.104,9.9E-05
0.08,0.133,1.235,1.132,1.358,0.14,0.104,0.000198
0.065,0.116,0.914,0.838,1.005,0.071,0.087,1.323E-06
0.08,0.116,1.026,0.941,1.129,0.1,0.087,5.989E-05
0.085,0.116,1.138,1.044,1.252,0.12,0.087,0.0002284
0.07,0.158,1.363,1.249,1.499,0.163,0.129,4.685E-05
0.082,0.133,1.363,1.249,1.499,0.166,0.104,0.0003289
0.133,0.4,1.575,1.443,1.732,0.133,0.242,0.0
0.133,0.308,1.575,1.443,1.732,0.133,0.15,3.608E-06
0.133,0.208,1.575,1.443,1.732,0.133,0.05,7.337E-05
0.167,0.208,1.795,1.645,1.975,0.167,0.05,0.000421
0.133,0.4,1.575,1.443,1.732,0.133,0.258,0.0
0.133,0.308,1.575,1.443,1.732,0.133,0.167,4.811E-07
0.133,0.208,1.575,1.443,1.732,0.133,0.067,6.832E-05
0.167,0.208,1.795,1.645,1.975,0.167,0.067,0.0003079
0.133,0.4,1.575,1.443,1.732,0.133,0.217,0.0
