Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.073,1.17,0.975,1.063,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.091,1.129,0.94,1.026,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,45.0,45.0,0.188,0.091,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,45.0,45.0,0.188,0.091,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.129,1.457,1.214,1.324,0.542,44.0,0.0,0.197,0.108,1.231,1.026,1.119,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.129,1.457,1.214,1.324,0.542,44.0,0.0,0.197,0.105,1.313,1.094,1.194,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.129,1.457,1.214,1.324,0.542,44.0,0.0,0.197,0.108,1.231,1.026,1.119,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,7e-07
0.129,1.457,1.214,1.324,0.542,45.0,45.0,0.197,0.094,1.252,1.043,1.138,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,2.5e-07
0.129,1.457,1.214,1.324,0.542,45.0,45.0,0.197,0.094,1.252,1.043,1.138,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.146,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.117,1.272,1.06,1.157,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,3.45e-08
